Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status
1/19/16 12:31,Reg SV Student,1.60E+14,N/A,3224,SV Entry (Tag On),,1,0.5,0,-0.5,-0.5,8,Unlmtd,,Success
1/19/16 12:39,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:42,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:46,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:50,EZ Pass AdultZ0,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,3.15,Unlmtd,0,Success
1/19/16 12:50,EZ Pass AdultZ0,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,5.75,Unlmtd,0,Success
1/19/16 12:56,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 12:58,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:02,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:07,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:16,Reg SV Regular,1.60E+14,N/A,3224,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,3.25,Unlmtd,,Success
1/19/16 13:17,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:17,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 13:24,Reg SV Regular,1.60E+14,N/A,3224,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,0,Unlmtd,,Success
1/19/16 13:26,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0.55,Unlmtd,0,Success
1/19/16 13:47,Reg SV Sr/Dis,1.60E+14,N/A,3224,SV Entry (Tag On),,1,0.35,0,-0.35,-0.35,3.95,Unlmtd,,Success
1/19/16 14:03,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0,Unlmtd,0,Success
1/19/16 14:30,ASI,1.60E+14,N/A,3224,Pass Entry (Tag On),,1,0,0,0,0,0.25,Unlmtd,0,Success
