Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-01-19 13:23:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:33:12,3.2,11,3.2
2016-01-19 13:26:00,Reg SV Regular,1.6e+14,,3295,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,0.75,Unlmtd,,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
2016-01-19 13:26:00,Reg SV Regular,1.6e+14,,3295,SV Entry (Tag On),,1,0.75,0,-0.75,-0.75,0.75,Unlmtd,,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:33:12,3.2,11,3.2
2016-01-19 13:37:00,EZ Pass AdultZ0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.9,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
2016-01-19 13:37:00,EZ Pass AdultZ0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.9,Unlmtd,0.0,Success,First Transit,3295,13,30,301014,31,2016-01-19 13:33:27,2016-01-19 13:39:27,3.5,7,2.5
2016-01-19 13:39:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
2016-01-19 13:39:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,30,301014,31,2016-01-19 13:33:27,2016-01-19 13:39:27,3.5,7,2.5
2016-01-19 13:40:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
2016-01-19 13:42:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
2016-01-19 13:42:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,37,301014,31,2016-01-19 13:40:12,2016-01-19 13:46:27,3.2,5,4.5
